Feature	Gain	Cover	Frequency
ctrx_quarter	0.129145754732109	0.0186090306893032	0.00821219814073666
mcaja_ahorro	0.0738537456792174	0.0140734556645863	0.00805861467715853
mpayroll	0.0602943428854818	0.0297605865669226	0.0059536177939994
mprestamos_personales	0.0501691933523948	0.0146711545065025	0.00441778315821807
mpasivos_margen	0.0391482938776925	0.0125610518803537	0.0103442979880566
active_quarter	0.0348971640671541	0.00401256000545569	0.00671250079050312
mcuentas_saldo	0.0325302119782631	0.0185394704372171	0.0131630062607847
mtarjeta_visa_consumo	0.0279154750602072	0.00951700684273307	0.00878136038811445
ctarjeta_visa_transacciones	0.0235585445296942	0.0075484792127277	0.00559224493852144
Visa_status	0.0193274553965795	0.0114315575998204	0.00404737598135316
mcuenta_corriente	0.019056084658499	0.0214677870720061	0.0151505569659135
Visa_mpagospesos	0.0187053162214463	0.0127643143542818	0.0292892699364887
mrentabilidad_annual	0.0180643016288067	0.0239841319290305	0.019667717659388
Visa_msaldototal	0.0162571926509305	0.0111465739654104	0.0143645710052489
Master_fechaalta	0.0160092015800553	0.0239114670678602	0.0375014680772254
cmobile_app_trx	0.0147510650260839	0.0176655146436291	0.058307510231369
cdescubierto_preacordado	0.0131729775380416	0.0111181992321739	0.0096576895626485
Master_Fvencimiento	0.0130424647367022	0.0207735282064769	0.0342852496634715
mcomisiones_otras	0.0125525946501571	0.0117249658883911	0.0174091373126508
Visa_mpagominimo	0.0123311185909249	0.015886118436429	0.0211312777240738
thomebanking	0.0121968850354742	0.0129576182814955	0.0341768378068281
Visa_msaldopesos	0.0120170173604842	0.0100091999536028	0.0152860717867177
Visa_fechaalta	0.0117393992133131	0.0142249797315674	0.0239499859968019
Visa_Fvencimiento	0.0116929147220015	0.0190693190029814	0.0257207129886439
mcomisiones	0.011205947847134	0.0115658685567821	0.018430015629376
tcallcenter	0.0102992124879524	0.012820318585031	0.0105882246655043
ctarjeta_master	0.00984591051246513	0.00207043384731661	0.00314394384265826
mactivos_margen	0.00980819748810958	0.0169286115739714	0.011690411874712
Master_status	0.00892688588984407	0.00951545411837362	0.00260188455944132
mautoservicio	0.00873967370300422	0.00894912438674363	0.0117626864458076
cliente_edad	0.00865844012978752	0.0160508588325582	0.0177614758467418
Visa_mconsumospesos	0.00862562863024244	0.0132245712416346	0.0272746162671991
Master_mlimitecompra	0.0085447473326846	0.0142157215600971	0.0223147738257641
Master_mfinanciacion_limite	0.00852316444689747	0.0138812569364647	0.0227935928592724
mextraccion_autoservicio	0.00834080010053891	0.00557981844065674	0.00590844618706466
Visa_mconsumototal	0.00820187100342957	0.0122100406966644	0.0266964196984344
mrentabilidad	0.00755612783040523	0.0114132480468986	0.0134159672596193
mtransferencias_recibidas	0.00737302826925441	0.0133652108847804	0.0161533666398648
mcomisiones_mantenimiento	0.00724865709418922	0.0135181900386063	0.00408351326690096
numero_de_cliente	0.00699603693223323	0.0142197165417514	0.0170658330999467
chomebanking_transacciones	0.00694494152023989	0.0152460158857369	0.0168490093866599
foto_mes	0.00678626258601827	0.010014890277559	0.00468881279982654
Visa_cconsumos	0.00662868847889192	0.0100284444996789	0.0183667753796674
Visa_mlimitecompra	0.0063209641076213	0.0134593580383111	0.0137863744364842
cliente_antiguedad	0.00627405887692338	0.0153818102372257	0.0147982184318225
Visa_mfinanciacion_limite	0.0062633107765666	0.0111169052352338	0.0141567816133491
Visa_cadelantosefectivo	0.00612979247821951	0.000627909496284132	0.00102087831672524
mtransferencias_emitidas	0.00606541646820372	0.0181982220454215	0.0170567987785598
ctarjeta_debito_transacciones	0.00591566239528693	0.0032156718772357	0.00318008112820605
Visa_mconsumosdolares	0.00546543222494509	0.00824321079256358	0.0161172293543171
mcuenta_debitos_automaticos	0.00519330476006794	0.0114496242584333	0.00794116849912819
ccajas_transacciones	0.00513375177501167	0.0096818033744359	0.00447198908653977
Master_mpagominimo	0.00508538364380799	0.0115792690058136	0.0116091029822295
Master_msaldopesos	0.00497380395972612	0.00755819498508113	0.010100371310609
mttarjeta_visa_debitos_automaticos	0.00479899840117994	0.0113298735258474	0.0143284337197011
mcaja_ahorro_dolares	0.00450759384251367	0.0119770756672781	0.0115910343394556
