Feature	Gain	Cover	Frequency
ctrx_quarter	0.144357608941096	0.0228788685229074	0.00834480081860203
mcaja_ahorro	0.0797974205079937	0.0147830530205375	0.00876821565929219
mpayroll	0.0639015568593637	0.0443133015025099	0.00751561342225045
mpasivos_margen	0.0614603657475518	0.0153618646862526	0.0116968349740658
mprestamos_personales	0.043009557236217	0.0184068680311848	0.00592780776966233
Visa_msaldototal	0.0268617761388096	0.0113543903768344	0.013937405172718
active_quarter	0.0266338182480372	0.00422356739241295	0.00718041000670407
mcuentas_saldo	0.0258113223137397	0.0234111576082151	0.0137433400374016
ctarjeta_visa_transacciones	0.0228904769363848	0.00817755043513661	0.00594545005469108
mtarjeta_visa_consumo	0.0224593444476452	0.0109368350511085	0.00897992307963728
mcuenta_corriente	0.0178008431845069	0.0201113882913594	0.0143961045834657
Master_fechaalta	0.0163123196672059	0.0237771210107923	0.0384248967926326
cdescubierto_preacordado	0.0159778504823616	0.0137928873987294	0.010303094456794
Visa_msaldopesos	0.0155605656869467	0.00964763197479393	0.0138844783176317
Visa_status	0.0155073892304045	0.00804147756377424	0.0036872375710102
mrentabilidad_annual	0.0149508656098798	0.0197299881878873	0.0175011467485269
cmobile_app_trx	0.0140113431869844	0.0170811424311872	0.0554673441304118
foto_mes	0.0131008019484285	0.0167447885766283	0.00462227867753431
thomebanking	0.0130963040827952	0.0132385310767619	0.0339790409653858
Visa_mpagospesos	0.0128791731948687	0.0103579223289155	0.0250167601707773
Master_Fvencimiento	0.0127290119525873	0.0181292872637844	0.0340672523905296
Visa_Fvencimiento	0.0112459101277985	0.0154073647176195	0.0248756218905473
mactivos_margen	0.0111482364360308	0.0183330819029809	0.0116086235489221
Master_status	0.011143279796345	0.00709638734178646	0.00426943297695918
Visa_fechaalta	0.01112250374418	0.0160517076224511	0.024822695035461
mcomisiones	0.010657284814175	0.0114188828719621	0.016477894216859
mcomisiones_otras	0.0106564778700224	0.0137441697550188	0.0181186267245334
tcallcenter	0.0105905378952009	0.0116856282472007	0.0109735012878868
Visa_mpagominimo	0.00959696528128106	0.0136981265450833	0.0206944003387319
mautoservicio	0.00949044517510573	0.0120549174443769	0.0156487068205074
Visa_mconsumospesos	0.00834305038922123	0.013727583536688	0.0278395257753784
Master_mlimitecompra	0.0083261414785204	0.0131878324669657	0.0227409054020677
cpayroll_trx	0.00811791737508076	0.00266263510744595	0.000158780565258812
Master_mfinanciacion_limite	0.00800067933550602	0.011880270473271	0.0222645637062912
cliente_edad	0.00786114823704181	0.0163335181864689	0.0143961045834657
mrentabilidad	0.00778841102294558	0.0114328895589152	0.0135139903320278
Visa_mconsumototal	0.0074347250649857	0.0117171912298925	0.0259518012773014
numero_de_cliente	0.00676889596783532	0.012906001497313	0.0163543982216577
mtransferencias_recibidas	0.00667239750897972	0.0140070208929704	0.0180480575844183
chomebanking_transacciones	0.00666933413979806	0.0185620972591855	0.0172894393281818
Visa_madelantodolares	0.00659204289532031	0.00267966150447364	0.00342260329557884
mcuenta_debitos_automaticos	0.00617054329146186	0.0142676102444316	0.0109382167178293
