Feature	Gain	Cover	Frequency
mpasivos_margen	0.0984016034077026	0.00891849828221872	0.00567086310536464
mpayroll	0.0680003600971477	0.00805813119366546	0.00374276964954066
mautoservicio	0.0608988297566833	0.0110115054413503	0.00725870477486673
ctrx_quarter	0.0531199316762965	0.0108248924342351	0.00680503572643756
Visa_delinquency	0.0515431694521723	0.0086087782010318	0.00606782352274016
mprestamos_personales	0.0431771435599962	0.00746884940411869	0.00328910060111149
Visa_mconsumosdolares	0.0353611379981476	0.0129101305713373	0.0155381649086991
Visa_cadelantosefectivo	0.0243176756220342	0.00688709169106467	0.0100941363275491
Visa_mpagominimo	0.023397550133805	0.0248163883143907	0.0304525348758081
mcuentas_saldo	0.0210679404608476	0.0135728306331111	0.00918679823069071
Visa_cconsumos	0.0208194779808212	0.0289528404122285	0.0390155381649087
Master_madelantodolares	0.0202613796892687	0.00870295355315758	0.0117386866281048
matm	0.0195742323309384	0.00488147239253798	0.00294884881478961
mtransferencias_emitidas	0.0175638924105057	0.0119121843410539	0.0113984348417829
Visa_mpagospesos	0.0174324941828271	0.0269339111823614	0.0390722467959623
Visa_madelantopesos	0.0170044349751052	0.00957800583471493	0.0127027333560168
mtransferencias_recibidas	0.0162623117657454	0.0100850630267446	0.0102075535896563
mcomisiones	0.0159867883133952	0.0138150919092798	0.0163320857434502
cpayroll_trx	0.015809449266689	0.0013546337876358	0.000453669048429171
Visa_msaldototal	0.0142183595359296	0.0136660478827812	0.0160485425881819
mrentabilidad_annual	0.0114885103456675	0.0146576454604423	0.0105478053759782
foto_mes	0.0109030222289795	0.0105041288235567	0.00793920834751049
ctarjeta_visa_transacciones	0.0106153717779537	0.00706941963739777	0.0055007372122037
active_quarter	0.0105608843302991	0.00877247804805051	0.00635136667800839
mcuenta_corriente	0.0101509989213803	0.0141066536760609	0.0094136327549053
mpagomiscuentas	0.00988616765296189	0.00532078929324408	0.00499035953272088
cproductos	0.00963888058567263	0.00452786877117393	0.00170125893160939
cdescubierto_preacordado	0.00937247386754811	0.0104843744293483	0.00584098899852558
mcomisiones_otras	0.00901867763516925	0.0148420571047803	0.0163320857434502
cmobile_app_trx	0.00876997289640797	0.0127949986511919	0.0183168878303278
tcallcenter	0.00872205494742229	0.0083888137873033	0.00629465804695475
Master_msaldototal	0.00867591130696022	0.0133964219416574	0.0156515821708064
Visa_status	0.00827199439595279	0.012629761644175	0.00663490983327662
mactivos_margen	0.00810583747046368	0.0139589212708437	0.00992401043438811
mcaja_ahorro	0.00806963583660799	0.0106056327852874	0.00748553929908132
Master_fechaalta	0.00790476703936388	0.0202505075276326	0.0234206646251559
Visa_mconsumospesos	0.00778914192598168	0.0159011545739699	0.0240444595667461
Master_Fvencimiento	0.00772185828149462	0.0205810890659384	0.0244981286151752
Visa_fechaalta	0.00759446750014602	0.0258176111501709	0.0268798911194284
thomebanking	0.00723907170909985	0.0124221301770201	0.0138369059770897
Visa_msaldopesos	0.00679330674666752	0.0162552395194326	0.0203016899172054
Visa_mlimitecompra	0.00661493916436918	0.0174970588409467	0.0202449812861518
cprestamos_personales	0.00656337964007405	0.00272854186923493	0.000964046727911988
Visa_Fvencimiento	0.00576660114363963	0.0179601730484863	0.0204718158103663
cliente_edad	0.00571167072458713	0.0171378417532424	0.01570829080186
mrentabilidad	0.00567978816679802	0.0141183129786999	0.0127027333560168
mextraccion_autoservicio	0.005553916327453	0.0049335480583836	0.00328910060111149
Visa_mconsumototal	0.00551700966533664	0.0193215285892263	0.0264262220709992
ccajas_transacciones	0.00508396392258173	0.00851868475000688	0.00504706816377453
Master_mlimitecompra	0.00498802349452626	0.016215715520265	0.0190541000340252
cliente_antiguedad	0.00481517156446677	0.0153757373065428	0.0153680390155382
mcaja_ahorro_dolares	0.00460991122542355	0.00693242287509818	0.00561415447431099
chomebanking_transacciones	0.00438770718444561	0.0150291433935283	0.0128728592491777
Visa_mpagosdolares	0.00431420679843009	0.00865122109080111	0.0113984348417829
