Feature	Gain	Cover	Frequency
ctrx_quarter	0.091602200969795	0.022320832552624	0.00811606391925988
mcaja_ahorro	0.0823093416817699	0.0118323982884219	0.00857863751051304
mpasivos_margen	0.0731243504254015	0.0146870203479377	0.0112699747687132
mpayroll	0.069240187564421	0.046357158891541	0.00790580319596299
mprestamos_personales	0.0471813027453412	0.0178169480297692	0.00523549201009252
mtarjeta_visa_consumo	0.0461168850658144	0.0102413970319139	0.00927249789739277
ctarjeta_visa_transacciones	0.0406540160019617	0.0111325667622336	0.00693860386879731
Visa_msaldototal	0.0237615962442278	0.0116195049660649	0.0142767031118587
mcuentas_saldo	0.0221828071452881	0.0225538483725182	0.0141084945332212
mcuenta_corriente	0.0191938243152226	0.0205933630271773	0.012973086627418
Master_fechaalta	0.0161030526501164	0.0218371418821209	0.0360386879730866
Master_status	0.0159106551190246	0.00770693820411702	0.00439444911690496
cdescubierto_preacordado	0.0155314834198868	0.0137746344966722	0.010744322960471
mrentabilidad_annual	0.0155145670298925	0.0195567664944399	0.017430613961312
cmobile_app_trx	0.0149690737494138	0.0167301790337242	0.0580740117746005
thomebanking	0.0143063311954775	0.0134510444916841	0.0376576955424727
Visa_mpagominimo	0.013749356589335	0.0118982014270723	0.0205634987384357
Master_Fvencimiento	0.0136239708679956	0.0197430604363653	0.0350084104289319
Visa_fechaalta	0.0136078499228793	0.0150154775399242	0.0242220353238015
foto_mes	0.0123129617002959	0.0152079760412586	0.00462573591253154
mactivos_margen	0.0122298946818207	0.0202476213033869	0.0127207737594617
active_quarter	0.0121267784529025	0.00430565294108691	0.00748528174936922
Visa_status	0.0120591798864864	0.00823211166436011	0.0039529015979815
mautoservicio	0.0117051022545195	0.0129774834755311	0.01553826745164
mcomisiones	0.0112832673927626	0.0129253004076673	0.0171152228763667
Visa_Fvencimiento	0.0111491927694908	0.0148182919574259	0.025336417157275
tcallcenter	0.0106653285321569	0.0116802573483086	0.0113120269133726
mcomisiones_otras	0.0095850287590856	0.0122006796512736	0.0159587888982338
Visa_mpagospesos	0.0093011106840239	0.0117229770668206	0.0280487804878049
Master_mfinanciacion_limite	0.0089520602966577	0.013313295566355	0.0225189234650967
Master_mlimitecompra	0.00890141970359657	0.0116120708379782	0.0217409587888982
cpayroll_trx	0.00856800949676739	0.00246631604508497	0.000126156433978133
Visa_mconsumospesos	0.00815051535719499	0.0111539629890139	0.0253153910849453
Visa_mconsumototal	0.00811954977269794	0.0118010923442241	0.0249789739276703
Visa_msaldopesos	0.00811953256832394	0.00981786171013113	0.0131623212783852
cliente_edad	0.0081149786197511	0.0165156725518977	0.0140664423885618
numero_de_cliente	0.00760909199646167	0.0117252747150505	0.0174095878889823
mrentabilidad	0.00746243792522375	0.0119340961735292	0.0137089991589571
mtransferencias_recibidas	0.0068664192638259	0.01434711864242	0.0196173254835997
chomebanking_transacciones	0.00683976874856342	0.0153944816941289	0.0163162321278385
mcuenta_debitos_automaticos	0.00655809291775072	0.013884042729872	0.0109966358284273
Visa_mlimitecompra	0.00635508411351574	0.0129281522276957	0.0134566862910008
ccajas_transacciones	0.00606983089782937	0.00916144694667005	0.00592935239697225
Visa_mfinanciacion_limite	0.00594770360555587	0.0102776827292567	0.0128889823380992
mextraccion_autoservicio	0.00575678946994578	0.00496293446387648	0.00895710681244744
mtransferencias_emitidas	0.00571251630152815	0.0166106532686825	0.0188814129520606
cliente_antiguedad	0.00565730595384112	0.0107908544735432	0.0139613120269134
Visa_mconsumosdolares	0.00544089903873618	0.00911795268648043	0.0155592935239697
Visa_cconsumos	0.00542207880307826	0.0081643949012182	0.0147603027754415
Master_fultimo_cierre	0.00509087487875692	0.00819052626624806	0.0106181665264929
Master_mpagominimo	0.00508567035471335	0.0121403948514847	0.0110597140454163
mttarjeta_visa_debitos_automaticos	0.00484796449634959	0.0110767053790578	0.0160639192598823
ctarjeta_debito_transacciones	0.00447019144533065	0.00558112869111414	0.0039529015979815
Master_msaldototal	0.00434607419116504	0.00622929019129897	0.0093986543313709
Master_mpagospesos	0.00432235555687516	0.0108019803382903	0.013582842724979
mcaja_ahorro_dolares	0.00406981176531037	0.009576264020402	0.0120689655172414
mcomisiones_mantenimiento	0.00377027011759431	0.01462124058841	0.00168208578637511
mpagomiscuentas	0.0037262876054466	0.0118945443261493	0.0126156433978133
Master_msaldopesos	0.0036840899822478	0.00655010933729488	0.00925147182506308
Master_mconsumospesos	0.0031988187703745	0.00647879825050405	0.0111017661900757
Visa_fultimo_cierre	0.00304366828258689	0.00501138466514165	0.00578216989066442
Master_mconsumototal	0.00299434760544583	0.00573190151959999	0.0100925147182506
ccaja_seguridad	0.00294931368703723	0.00903171792633639	0.000483599663582843
mplazo_fijo_dolares	0.00264101718094067	0.0181199570466461	0.00191337258200168
Visa_mpagosdolares	0.0024506352181158	0.00294780864510318	0.00622371740958789
tmobile_app	0.00244943980165315	0.00854931786999825	0.00229184188393608
cextraccion_autoservicio	0.00241069322016097	0.000201228438946616	8.41042893187553e-05
ctarjeta_visa	0.0021082135117481	0.00221040080740718	0.00035744322960471
cproductos	0.00206446644453858	0.00520549459415866	0.000378469301934399
Visa_mpagado	0.00186771454171929	0.00410422794433054	0.00489907485281749
Master_madelantodolares	0.0018554041714648	0.00181773328774399	0.00708578637510513
Master_cconsumos	0.00179824963216346	0.00583096146035737	0.00719091673675357
mtarjeta_master_consumo	0.00175913893771506	0.00274740323786658	0.00330109335576114
Master_mpagosdolares	0.00155346802452444	0.00433357930320765	0.00630782169890664
Master_mconsumosdolares	0.00145126234813144	0.0023100543181143	0.00643397813288478
ccaja_ahorro	0.00136914579978618	0.00796688547457515	0.000399495374264088
Visa_madelantodolares	0.00126722374209207	0.00187588062958836	0.00313288477712363
matm	0.00117813019783886	0.00291096531238822	0.00513036164844407
Visa_msaldodolares	0.00105956616102021	0.00466632526537804	0.00229184188393608
Master_mpagado	0.00101119600025341	0.00287539008060891	0.00294365012615643
Master_madelantopesos	0.000981520109028374	0.000926545806608909	0.00391084945332212
cprestamos_personales	0.000870021738674746	0.00571954002492111	0.000420521446593776
mprestamos_prendarios	0.000869160579271722	0.0107797377006772	0.000588730025231287
Visa_madelantopesos	0.000637735187723949	0.000713865926983665	0.00233389402859546
ccomisiones_mantenimiento	0.000632288876446475	0.00661712472675439	0.000336417157275021
ccajas_otras	0.000563655919946483	0.00579275867494938	0.000315391084945332
minversion1_pesos	0.000549300520059132	0.00931625830213701	0.00052565180824222
minversion2	0.000515746797992807	0.00887980904566375	0.00052565180824222
ccomisiones_otras	0.000514188571373611	0.00199321265361232	0.000315391084945332
Master_delinquency	0.000469802556801635	0.00173897421857151	0.00145079899074853
Master_msaldodolares	0.000465623033816151	0.000811042549519797	0.00107232968881413
internet	0.000455765295069443	0.00610527823237027	0.000546677880571909
mcheques_emitidos	0.000454794121772793	0.00667845812349306	0.000399495374264088
Visa_Finiciomora	0.00038497441325388	0.00464122994184322	0.000546677880571909
matm_other	0.00037925159321584	0.00155375485039895	0.00138772077375946
Visa_delinquency	0.000358541364416474	0.000496832768113673	0.000862068965517241
mforex_sell	0.000339838892976682	0.00211035937644116	0.000777964676198486
mttarjeta_master_debitos_automaticos	0.000312020039192267	0.0017790217899429	0.00088309503784693
Visa_cadelantosefectivo	0.000298782363329785	0.000749317768948483	0.000820016820857864
ccajas_consultas	0.000220959395811079	0.0017650566606223	0.000105130361648444
mprestamos_hipotecarios	0.000197082046032812	0.00377708431268497	0.000210260723296888
cseguro_auto	0.000187645934130127	0.00419309761819745	0.000210260723296888
mcaja_ahorro_adicional	0.000187282758879319	0.0050219325460208	0.00035744322960471
cseguro_vida	0.000184073766577729	0.00302544378459694	0.000168208578637511
cseguro_accidentes_personales	0.000175774715265675	0.00237589598902259	0.000504625735912532
Master_Finiciomora	0.000161365158462957	0.00485001156922383	0.000273338940285955
ctarjeta_debito	0.000121043361556447	0.00259215503916164	0.000147182506307822
ctransferencias_emitidas	0.000111748727769836	0.00235096561818715	0.000252312867956266
ctransferencias_recibidas	0.000100530183253021	0.000303441530647757	0.000210260723296888
cprestamos_hipotecarios	9.84741799939667e-05	0.00167723904727898	8.41042893187553e-05
Master_cadelantosefectivo	8.24865351541607e-05	0.000276332138982995	0.00111438183347351
mcheques_depositados	8.06910732132282e-05	0.00151634305864388	0.000147182506307822
ccajas_extracciones	7.54214894827678e-05	0.00167723904727898	8.41042893187553e-05
mtarjeta_master_descuentos	6.84916099574877e-05	0.0020041640408322	0.000189234650967199
mtarjeta_visa_descuentos	6.27071457029732e-05	0.00054018848535369	0.000147182506307822
cpagomiscuentas	5.2318333683181e-05	0.00137288529789739	8.41042893187553e-05
ctarjeta_master	3.56095670435389e-05	0.000436934589743611	6.30782169890664e-05
cinversion2	3.27070206933628e-05	0.000419309761819745	2.10260723296888e-05
catm_trx	2.81703528693355e-05	0.000279487454660342	4.20521446593776e-05
cinversion1	2.00892045074199e-05	0.000419309761819745	2.10260723296888e-05
ccheques_emitidos	1.5921374016252e-05	0.000419309761819745	2.10260723296888e-05
cplazo_fijo	1.04517477991778e-05	0.000419309761819745	2.10260723296888e-05
ctarjeta_visa_debitos_automaticos	8.56039200142678e-06	1.18830885560035e-05	2.10260723296888e-05
ctarjeta_master_debitos_automaticos	4.39971911241592e-06	1.12098564102468e-05	2.10260723296888e-05
ctarjeta_master_transacciones	3.49589191256444e-06	0.000104855798464934	8.41042893187553e-05
