Feature	Gain	Cover	Frequency
mpasivos_margen	0.12506980660949	0.0178271860335875	0.0108072703455052
mtarjeta_visa_consumo	0.120577092447987	0.00927020099597152	0.00736859341738988
mcaja_ahorro	0.0787023959840286	0.0122043353282742	0.00802357949893565
ctrx_quarter	0.0685436060782494	0.0143037289305107	0.0090060586212543
mpayroll	0.0571945595334784	0.0171261938078862	0.00654986081545767
cmobile_app_trx	0.049683395137489	0.0295718131947224	0.0586212542983462
cpayroll_trx	0.044403973297145	0.00524300687471752	0.00130997216309153
mcuentas_saldo	0.0438975671192683	0.0213022760244414	0.0116260029474374
mprestamos_personales	0.0419001221153007	0.016845939157896	0.00458490257082037
cdescubierto_preacordado	0.0190537970575787	0.0141966948037878	0.00867856558048142
foto_mes	0.0162429914785909	0.0131643442805072	0.0114622564270509
mrentabilidad_annual	0.0149378507297366	0.0241416459776123	0.0157196659570984
Visa_msaldototal	0.014440237010382	0.0121480624438745	0.0160471589978713
Visa_mpagominimo	0.0115711474872406	0.0158453206704522	0.0198133289667595
Visa_mpagospesos	0.0113635242413504	0.0184652068181163	0.0316030784345833
tcallcenter	0.0113178387928706	0.0126254897451785	0.00867856558048142
mactivos_margen	0.011177735619558	0.0210835122173592	0.0132634681513018
mcomisiones_otras	0.0111228883381573	0.0175125812331879	0.022597019813329
mextraccion_autoservicio	0.0108658057755703	0.00245231666466446	0.00163746520386442
thomebanking	0.0101864134661469	0.0171688591280728	0.0317668249549697
Master_fechaalta	0.00901721244066496	0.025512491173836	0.0355329949238579
Master_Fvencimiento	0.00892802136645845	0.0258753439889748	0.0317668249549697
Visa_fechaalta	0.00862470080413786	0.0246834055441791	0.0280006549860816
mcuenta_corriente	0.00858934261305149	0.0262355022235429	0.0198133289667595
Visa_Fvencimiento	0.00773856127090321	0.0225720419681316	0.0268544293433765
mcomisiones	0.00757995280180271	0.0169522187749914	0.0224332732929425
Visa_status	0.00713273536484056	0.0231449793612215	0.011134763386278
mautoservicio	0.0064257132280735	0.00406900816510762	0.00491239561159325
Visa_msaldopesos	0.00628984103282783	0.010645707234629	0.0145734403143933
cliente_edad	0.00617341290240924	0.0206321347838729	0.0180121172425086
mrentabilidad	0.00609910759919684	0.0136217916255252	0.0132634681513018
Master_status	0.005671664029156	0.0112534759048951	0.00884231210086786
ccajas_transacciones	0.00565446277994919	0.0118209219566159	0.00540363517275258
ctarjeta_visa	0.00534791927686457	0.00972034685320503	0.00376616996888816
Visa_mconsumototal	0.00517107152215232	0.0160053856585927	0.0311118388734239
Visa_mconsumospesos	0.00503139784466843	0.0200639369292857	0.032258064516129
cliente_antiguedad	0.00476906434122497	0.0194145260944891	0.0214507941706239
numero_de_cliente	0.00471558018416197	0.0175520092672242	0.0206320615686917
mcuenta_debitos_automaticos	0.00468609781183531	0.00703064792595308	0.0039299164892746
Visa_cconsumos	0.00454050072932989	0.0141415025937155	0.0224332732929425
Master_mfinanciacion_limite	0.00440237577104528	0.0131593151185781	0.0206320615686917
chomebanking_transacciones	0.00425601769207886	0.0159725316703234	0.014082200753234
ccaja_seguridad	0.00416499058781217	0.00393225515603814	0.000982479122318651
