Feature	Gain	Cover	Frequency
ctrx_quarter	0.13534421714541	0.0227017104695062	0.00868951806842595
mcaja_ahorro	0.0935684973347598	0.0155484200764569	0.00873761503190432
mpayroll	0.0732004502334298	0.0450686328917598	0.00811235450668548
mpasivos_margen	0.0668201270106467	0.0181567693805605	0.0113989803443743
mprestamos_personales	0.0454045689985688	0.0217702548520698	0.00658928399653702
mcuentas_saldo	0.0287031055314192	0.0270707136459137	0.0147657677878603
Visa_msaldopesos	0.0256870503132538	0.0107499615433797	0.0131625356719146
active_quarter	0.0246947300425793	0.00400910190299983	0.00678167185045051
ctarjeta_visa_transacciones	0.0243412655596788	0.0104042770496128	0.00705422131016129
mtarjeta_visa_consumo	0.0223683929119511	0.0105634875420536	0.00881777663770161
Visa_mpagominimo	0.0210076705576435	0.0137323663198893	0.0214031487478757
cdescubierto_preacordado	0.0177602931083649	0.0147267095509425	0.0106454612498798
mcuenta_corriente	0.0152699322190128	0.0193293633385976	0.0130663417449578
mrentabilidad_annual	0.014737956990785	0.0188609297327279	0.0180363613043897
foto_mes	0.0146242100285308	0.0184109867787944	0.0055792477634912
Master_fechaalta	0.0145570073674389	0.024459996658081	0.037323243659217
Visa_status	0.0142997257332148	0.00782782578100746	0.0033186904800077
Visa_mpagospesos	0.0124501935950949	0.0104477246243939	0.0251226472568699
Visa_msaldototal	0.0123876162571433	0.00902897786642893	0.0141405072626415
cmobile_app_trx	0.0122701054274665	0.0171851773271568	0.0547503767595473
mcomisiones	0.0122101651174378	0.0137116355182341	0.019030365216276
thomebanking	0.0121604629248245	0.0137943754317892	0.0341488440696444
mautoservicio	0.0119252062682995	0.0115214669711161	0.0160483534806169
Master_Fvencimiento	0.0118753517954289	0.0180847289772806	0.0336037451502229
Master_status	0.0115303253820858	0.00924555108052785	0.0048257286689967
tcallcenter	0.0111047427800373	0.0132647640578117	0.0108699137461122
mactivos_margen	0.0110159728307811	0.0223917363883706	0.012617436752493
Visa_fechaalta	0.0101501633137421	0.0139107359797526	0.0234552858562863
mcomisiones_otras	0.00906782805746473	0.0129189072448356	0.0180523936255491
Visa_Fvencimiento	0.00893349057530267	0.0146887456420098	0.0238560938852727
Visa_mconsumototal	0.00759172010179825	0.0112667326152547	0.025828069387886
Visa_mconsumospesos	0.00713382331707221	0.0119935972837377	0.0269984288325264
mrentabilidad	0.00705123999345805	0.0119554290237979	0.014332895116555
Master_mlimitecompra	0.00678243291627077	0.011575054686072	0.020537403405265
cliente_edad	0.00678074983353127	0.0151618719062739	0.0133228588835092
mtransferencias_recibidas	0.00676578206334253	0.0141636495651752	0.0181966845159842
Master_mfinanciacion_limite	0.00654482293334347	0.0121612196822195	0.0214512457113541
ccajas_transacciones	0.00643409035914172	0.00750709761690384	0.00524256901914259
mcuenta_debitos_automaticos	0.00631994771755439	0.0146614690831327	0.0116074005194472
numero_de_cliente	0.00611147647835597	0.010749011563299	0.016016288838298
cliente_antiguedad	0.00601060273884709	0.0124626368244513	0.016224709013371
chomebanking_transacciones	0.00559417863621888	0.0185279129252636	0.0153910283130792
Visa_mlimitecompra	0.00536282066575777	0.0107416255645634	0.0136274729855388
Master_msaldopesos	0.00534070784695145	0.00596074892945216	0.0097636835861096
Visa_mfinanciacion_limite	0.00527167786905669	0.0113857129490604	0.0132587295988713
Visa_cconsumos	0.00519330297984029	0.00904023911953061	0.0163209029403277
mtransferencias_emitidas	0.00466105562886891	0.0160229501046055	0.0177958764869978
Visa_mconsumosdolares	0.00441729081095007	0.00799166219893032	0.0159200949113413
Master_mpagominimo	0.00421443804388924	0.0105733124062914	0.0109981723153878
Master_fultimo_cierre	0.00389199396615392	0.00902966655008407	0.0104851380382852
cprestamos_personales	0.0038641992517282	0.00316853621555245	0.000272549459710777
Master_mpagospesos	0.00382169106910934	0.00939380254581214	0.0125533074678552
mttarjeta_visa_debitos_automaticos	0.00379035254516931	0.010713315683613	0.0161445474075737
mpagomiscuentas	0.00325695837447671	0.0136412782672983	0.0119120146214769
mextraccion_autoservicio	0.00322768066915463	0.00621745591020176	0.00958732805335557
mcaja_ahorro_dolares	0.00311966910648425	0.00927554974904609	0.0109500753519095
Master_msaldototal	0.00309830216089597	0.00633643832014251	0.00992400679770417
mcomisiones_mantenimiento	0.00309638428742075	0.0117658503107999	0.00169942604290249
Visa_mpagosdolares	0.00297629968435809	0.00269922381137511	0.00620450828871004
cproductos	0.00289585630266027	0.00810194323028598	0.000673357488697214
ctarjeta_debito_transacciones	0.00281374725950299	0.00461863350254391	0.00453714688812646
Master_mconsumospesos	0.0027924024942874	0.00734677223994118	0.0114150126655337
ccaja_seguridad	0.00276998027972495	0.00861746120636295	0.000480969634783724
tmobile_app	0.00269212664815267	0.0116053769350673	0.00272549459710777
cpayroll_trx	0.00267554429642773	0.00254194353134929	0.000144290890435117
mplazo_fijo_dolares	0.00264607871198564	0.0182304748441503	0.0021483310353673
Master_mconsumototal	0.00240921892600844	0.00581593939948997	0.0106775258921987
Master_cconsumos	0.0023773115191335	0.00622050278668293	0.00904222913393401
Visa_fultimo_cierre	0.00233139448378559	0.00354257478228737	0.00537082758841825
Visa_madelantodolares	0.00168353179248539	0.00279808965904468	0.00370346618783467
matm	0.00167389716749792	0.00357430435425583	0.00535479526725879
Visa_mpagado	0.0016713372563806	0.00423240594693071	0.0047135024208805
Master_madelantodolares	0.00156615082742063	0.00215351408622026	0.00743899701798827
ccaja_ahorro	0.00149708572107575	0.00924226248260872	0.000529066598262096
Master_mpagosdolares	0.00141715937191344	0.00388253299899583	0.00666944560233431
Master_mconsumosdolares	0.00130861719088809	0.00246725397974572	0.00658928399653702
ctarjeta_visa	0.00108521692994194	0.00186528574018863	0.000352711065508064
cextraccion_autoservicio	0.00102498206442714	0.000152859298732303	8.01616057972873e-05
mtarjeta_master_consumo	0.000950398518379922	0.00234904389204356	0.0029018501298618
mprestamos_prendarios	0.00088823087822208	0.00945247649504964	0.000593195882899926
ccomisiones_otras	0.000862560203544032	0.00294482762187756	0.000464937313624267
Visa_msaldodolares	0.000832113734192305	0.00365078027177452	0.00256517138551319
Master_mpagado	0.00079467954806488	0.00211646842216103	0.00246897745855645
ccajas_otras	0.000703792962073469	0.00586408704743348	0.000336678744348607
Visa_madelantopesos	0.000665562089786012	0.000794501885912587	0.0022605572834835
ccomisiones_mantenimiento	0.000612374913700913	0.00433212834860375	0.000272549459710777
Visa_delinquency	0.00060232932414922	0.000550788248077767	0.00120242408695931
Master_delinquency	0.000586606715890801	0.00147005220731945	0.00166736140058358
Master_madelantopesos	0.000532851912842055	0.00106057905732408	0.00395998332638599
minversion2	0.00048725366951423	0.00855068795770486	0.000609228204059384
minversion1_pesos	0.000463963397104473	0.00743385216552288	0.000497001955943181
Visa_cadelantosefectivo	0.000404843436153538	0.000842119822827629	0.00120242408695931
mcheques_emitidos	0.000397155989559315	0.00564520190866107	0.000368743386667522
internet	0.000369120491853324	0.00313001115697477	0.000384775707826979
Master_msaldodolares	0.000309611647562427	0.00118158095348699	0.00115432712348094
mforex_sell	0.000285256922444925	0.00199423804722999	0.000865745342610703
cseguro_accidentes_personales	0.000236819810981394	0.00237764443190102	0.000529066598262096
Master_cadelantosefectivo	0.000221100341007327	0.000484439124151311	0.00184371693333761
mcaja_ahorro_adicional	0.000216887928067043	0.00372671105554724	0.000304614102029692
mttarjeta_master_debitos_automaticos	0.000205651257410927	0.00129671747154305	0.000865745342610703
matm_other	0.000194269219830183	0.00103310585879875	0.000961939269567448
Visa_Finiciomora	0.000185709203078835	0.00428506266361199	0.000448904992464809
ccajas_consultas	0.000184687575361008	0.00257515427738053	0.000144290890435117
cseguro_auto	0.00015956199950889	0.00373423318942395	0.000208420175072947
Master_Finiciomora	0.000142800191725435	0.00430147451118188	0.000272549459710777
cprestamos_hipotecarios	0.0001387481833366	0.00229798965503012	0.00012825856927566
cseguro_vida	0.000133311594835091	0.00251369296854311	0.000144290890435117
ctransferencias_recibidas	0.000123912656649846	0.000322328567636409	0.000160323211594575
mprestamos_hipotecarios	0.000104734095194889	0.00199149250692178	0.000112226248116202
cinversion1	8.33548572672606e-05	0.00113263666286575	6.41292846378299e-05
ctransferencias_emitidas	7.44575571963175e-05	0.00159804415360484	0.000176355532754032
mtarjeta_visa_descuentos	5.43080835230356e-05	0.000717961904798066	0.00012825856927566
ctarjeta_debito	4.11655094929156e-05	0.000858776654333417	4.80969634783724e-05
ccajas_extracciones	4.08320897675707e-05	0.000861746120636295	4.80969634783724e-05
mtarjeta_master_descuentos	3.80547147168088e-05	0.000841735441252666	8.01616057972873e-05
mcheques_depositados	3.26656393099984e-05	0.000926451835375352	8.01616057972873e-05
ctarjeta_master_transacciones	2.78604939600537e-05	0.000232374084782688	9.61939269567448e-05
cplazo_fijo	2.65095972114034e-05	0.000571116872714761	3.20646423189149e-05
ctarjeta_master	2.07423454473377e-05	0.000137793676446945	6.41292846378299e-05
cpagomiscuentas	1.92183886343045e-05	0.000791425053768554	4.80969634783724e-05
cinversion2	1.57736067500672e-05	0.000287248706878765	1.60323211594575e-05
